  1000.1304  996.5886  992.2281  988.2883  984.8714  981.9888  979.6165  977.7157  976.2416  975.1406  972.1572  971.9271
   999.9250  996.3387  991.9129  987.9024  984.4108  981.4505  978.9979  977.0146  975.4560  974.2684  971.0023  970.7310
   999.6248  995.9985  991.5146  987.4415  983.8843  980.8560  978.3334  976.2784  974.6468  973.3844  969.8749  969.5682
   999.3730  995.7115  991.1767  987.0485  983.4335  980.3452  977.7610  975.6429  973.9469  972.6186  968.8943  968.5564
   999.1336  995.4405  990.8598  986.6822  983.0153  979.8734  977.2340  975.0594  973.3057  971.9185  968.0022  967.6364
   998.9440  995.2231  990.6018  986.3804  982.6675  979.4779  976.7894  974.5645  972.7595  971.3197  967.2323  966.8416
   998.7506  995.0045  990.3466  986.0858  982.3316  979.0991  976.3666  974.0968  972.2459  970.7592  966.5190  966.1061
   998.5956  994.8275  990.1376  985.8423  982.0519  978.7819  976.0108  973.7014  971.8102  970.2821  965.9075  965.4751
   998.4511  994.6637  989.9457  985.6201  981.7979  978.4951  975.6902  973.3462  971.4198  969.8556  965.3636  964.9141
   998.3470  994.5434  989.8018  985.4507  981.6017  978.2711  975.4376  973.0643  971.1079  969.5131  964.9212  964.4572
   998.2509  994.4336  989.6722  985.2997  981.4283  978.0744  975.2169  972.8191  970.8377  969.2173  964.5421  964.0660
   998.1968  994.3689  989.5921  985.2030  981.3140  977.9419  975.0655  972.6484  970.6473  969.0067  964.2655  963.7798
   998.1467  994.3108  989.5222  985.1205  981.2182  977.8322  974.9417  972.5100  970.4940  968.8381  964.0473  963.5544
   998.1252  994.2842  989.4882  985.0783  981.1674  977.7726  974.8728  972.4317  970.4060  968.7402  963.9170  963.4194
   998.1159  994.2724  989.4727  985.0588  981.1437  977.7444  974.8402  972.3943  970.3639  968.6931  963.8539  963.3540
   998.1432  994.3003  989.5013  985.0881  981.1736  977.7749  974.8711  972.4257  970.3957  968.7254  963.8874  963.3876
   998.1814  994.3416  989.5470  985.1385  981.2290  977.8353  974.9367  972.4966  970.4719  968.8070  963.9866  963.4893
   998.2575  994.4238  989.6381  985.2390  981.3393  977.9556  975.0672  972.6375  970.6233  968.9691  964.1835  963.6912
   998.3431  994.5181  989.7449  985.3593  981.4736  978.1044  975.2309  972.8163  970.8175  969.1790  964.4444  963.9595
   998.4675  994.6543  989.8980  985.5306  981.6638  978.3141  975.4604  973.0661  971.0879  969.4704  964.8041  964.3291
   998.5941  994.7950  990.0593  985.7139  981.8702  978.5444  975.7152  973.3458  971.3931  969.8015  965.2197  964.7570
   998.7522  994.9703  990.2595  985.9407  982.1248  978.8278  976.0281  973.6888  971.7666  970.2064  965.7262  965.2782
   998.9244  995.1623  990.4801  986.1922  982.4086  979.1448  976.3793  974.0749  972.1883  970.6644  966.3025  965.8716
   999.1311  995.3918  990.7427  986.4903  982.7437  979.5183  976.7921  974.5279  972.6822  971.2000  966.9738  966.5627
   999.3517  995.6380  991.0260  986.8134  983.1086  979.9263  977.2443  975.0253  973.2256  971.7904  967.7174  967.3285
   999.6093  995.9245  991.3542  987.1865  983.5286  980.3948  977.7626  975.5944  973.8464  972.4641  968.5630  968.1990
   999.8830  996.2302  991.7063  987.5884  983.9826  980.9027  978.3258  976.2142  974.5238  973.2004  969.4909  969.1548
  1000.2002  996.5833  992.1114  988.0494  984.5021  981.4827  978.9678  976.9196  975.2937  974.0363  970.5415  970.2365
  1000.5434  996.9669  992.5535  988.5544  985.0730  982.1216  979.6768  977.7000  976.1469  974.9640  971.7116  971.4417
  1000.9436  997.4141  993.0687  989.1429  985.7383  982.8662  980.5028  978.6093  977.1412  976.0450  973.0751  972.8463
