  5235.6499 6874.7944
    -0.6025    1.4610 5247.9839 5262.1411 5278.1797 5294.9795 5313.5762 5334.1851 5356.9658 5382.1030 5409.8413 5440.4409 5474.2178 5511.4868 5552.5957 5597.8550 5647.5811 5701.4873 5754.7666 5810.4478 5869.6724 5932.1479 5997.5112 6065.2153 6134.6641 6205.0767 6275.6621 6345.4814 6413.6470 6479.1978 6540.9370 6602.7119
    -0.3615    1.4610 5247.9844 5262.1431 5278.1826 5294.9834 5313.5801 5334.1885 5356.9678 5382.1035 5409.8374 5440.4292 5474.1963 5511.4492 5552.5376 5597.7676 5647.4565 5701.3135 5754.5571 5810.1738 5869.3223 5931.7090 5996.9756 6064.5801 6133.9312 6204.2529 6274.7715 6344.5508 6412.7280 6478.3413 6540.2065 6602.1895
    -0.1205    1.4610 5247.9844 5262.1436 5278.1846 5294.9868 5313.5869 5334.1987 5356.9834 5382.1255 5409.8672 5440.4707 5474.2505 5511.5215 5552.6323 5597.8901 5647.6104 5701.5054 5754.7646 5810.4170 5869.6016 5932.0195 5997.3101 6064.9204 6134.2563 6204.5420 6274.9941 6344.6836 6412.7319 6478.1846 6539.8608 6601.6050
     0.1205    1.4610 5247.9839 5262.1436 5278.1851 5294.9883 5313.5898 5334.2041 5356.9912 5382.1362 5409.8809 5440.4878 5474.2725 5511.5503 5552.6689 5597.9390 5647.6768 5701.5957 5754.8770 5810.5703 5869.8037 5932.2856 5997.6450 6065.3364 6134.7515 6205.1089 6275.6108 6345.3145 6413.3281 6478.6953 6540.2271 6601.7729
     0.3615    1.4610 5247.9839 5262.1416 5278.1812 5294.9814 5313.5791 5334.1875 5356.9678 5382.1060 5409.8423 5440.4409 5474.2144 5511.4805 5552.5859 5597.8398 5647.5620 5701.4624 5754.7397 5810.4160 5869.6328 5932.1045 5997.4644 6065.1646 6134.6133 6205.0337 6275.6338 6345.4834 6413.7002 6479.3213 6541.1558 6603.0474
     0.6025    1.4610 5247.9839 5262.1431 5278.1826 5294.9839 5313.5820 5334.1904 5356.9707 5382.1060 5409.8379 5440.4272 5474.1909 5511.4409 5552.5269 5597.7568 5647.4492 5701.3193 5754.5811 5810.2290 5869.4209 5931.8711 5997.2163 6064.9160 6134.3691 6204.8022 6275.4204 6345.2847 6413.4990 6479.0981 6540.8726 6602.6714
    -0.9640    1.2523 5247.9849 5262.1445 5278.1841 5294.9844 5313.5815 5334.1890 5356.9678 5382.1025 5409.8354 5440.4268 5474.1924 5511.4468 5552.5352 5597.7681 5647.4639 5701.3320 5754.5884 5810.2231 5869.3965 5931.8164 5997.1235 6064.7710 6134.1724 6204.5454 6275.1143 6344.9448 6413.1504 6478.7705 6540.6074 6602.4985
    -0.7230    1.2523 5248.2344 5262.8184 5279.3945 5296.9136 5316.4429 5338.1968 5362.3677 5389.1807 5418.9312 5451.9419 5488.5996 5529.2939 5574.4536 5624.4683 5679.4673 5736.6274 5794.5972 5856.8579 5923.2407 5993.3794 6066.8081 6142.8560 6220.7700 6299.5898 6378.3311 6455.8472 6531.0464 6602.7646 6669.5708 6735.5820
    -0.4820    1.2523 5248.2349 5262.8208 5279.3975 5296.9199 5316.4536 5338.2153 5362.3984 5389.2300 5419.0088 5452.0586 5488.7725 5529.5454 5574.8110 5624.9683 5680.1406 5737.4170 5795.6147 5858.1523 5924.8652 5995.3799 6069.2417 6145.7632 6224.1899 6303.5513 6382.8535 6460.9321 6536.6860 6608.9395 6676.2388 6742.7144
    -0.2410    1.2523 5248.2358 5262.8242 5279.4067 5296.9375 5316.4844 5338.2627 5362.4673 5389.3267 5419.1382 5452.2290 5488.9902 5529.8179 5575.1450 5625.3691 5680.6089 5737.8926 5796.1465 5858.7319 5925.4805 5996.0249 6069.8955 6146.4136 6224.8120 6304.1255 6383.3560 6461.3433 6536.9800 6609.1030 6676.2510 6742.5664
     0.0000    1.2523 5248.2358 5262.8228 5279.4023 5296.9302 5316.4712 5338.2412 5362.4351 5389.2793 5419.0718 5452.1387 5488.8691 5529.6621 5574.9473 5625.1240 5680.3125 5737.5854 5795.7935 5858.3354 5925.0435 5995.5498 6069.3970 6145.8994 6224.3027 6303.6328 6382.9072 6460.9585 6536.7065 6608.9805 6676.3687 6743.0371
     0.2410    1.2523 5248.2368 5262.8257 5279.4092 5296.9404 5316.4863 5338.2627 5362.4634 5389.3154 5419.1172 5452.1929 5488.9341 5529.7363 5575.0327 5625.2158 5680.4116 5737.6704 5795.8701 5858.3994 5925.0869 5995.5703 6069.3887 6145.8667 6224.2480 6303.5747 6382.8560 6460.9497 6536.7388 6609.0601 6676.4414 6743.0059
     0.4820    1.2523 5248.2349 5262.8228 5279.4048 5296.9370 5316.4854 5338.2656 5362.4736 5389.3345 5419.1475 5452.2393 5488.9985 5529.8223 5575.1406 5625.3491 5680.5664 5737.8296 5796.0420 5858.5713 5925.2427 5995.6846 6069.4268 6145.7866 6224.0020 6303.1094 6382.1201 6459.8857 6535.3188 6607.2759 6674.3340 6740.6611
     0.7230    1.2523 5248.2334 5262.8154 5279.3892 5296.9067 5316.4336 5338.1846 5362.3521 5389.1631 5418.9121 5451.9229 5488.5840 5529.2866 5574.4614 5624.5015 5679.5322 5736.7271 5794.7480 5857.0693 5923.5215 5993.7344 6067.2471 6143.3735 6221.3672 6300.2598 6379.0752 6456.6641 6531.9331 6603.7256 6670.5962 6736.6392
     0.9640    1.2523 5247.9834 5262.1411 5278.1802 5294.9800 5313.5781 5334.1875 5356.9692 5382.1079 5409.8452 5440.4434 5474.2178 5511.4834 5552.5889 5597.8433 5647.5654 5701.4673 5754.7495 5810.4346 5869.6670 5932.1577 5997.5435 6065.2783 6134.7651 6205.2183 6275.8472 6345.7070 6413.9092 6479.4917 6541.2642 6603.0903
    -1.0845    1.0436 5247.9849 5262.1445 5278.1851 5294.9873 5313.5869 5334.1987 5356.9834 5382.1265 5409.8691 5440.4746 5474.2568 5511.5317 5552.6475 5597.9150 5647.6484 5701.5610 5754.8413 5810.5327 5869.7710 5932.2642 5997.6450 6065.3726 6134.8511 6205.2993 6275.9346 6345.8135 6414.0513 6479.6865 6541.5200 6603.4023
    -0.8435    1.0436 5248.2373 5262.8242 5279.4028 5296.9272 5316.4619 5338.2236 5362.4048 5389.2314 5419.0005 5452.0366 5488.7305 5529.4766 5574.7065 5624.8154 5679.9302 5737.1636 5795.2812 5857.7227 5924.3228 5994.7104 6068.4287 6144.7930 6223.0498 6302.2261 6381.3306 6459.2114 6534.7769 6606.8745 6674.0791 6740.5571
    -0.6025    1.0436 5248.4336 5263.3594 5280.3691 5298.4780 5318.7778 5341.4907 5366.8408 5395.0977 5426.6089 5461.7627 5501.0220 5544.8599 5593.7891 5648.2749 5708.0308 5767.4146 5831.1138 5899.7461 5973.1089 6050.7695 6132.1665 6216.5010 6302.8584 6390.1094 6477.0747 6562.4082 6644.8115 6723.0112 6794.0562 6860.4927
    -0.3615    1.0436 5248.4365 5263.3677 5280.3853 5298.5063 5318.8252 5341.5654 5366.9546 5395.2637 5426.8477 5462.1011 5501.4927 5545.5054 5594.6685 5649.4448 5709.4365 5769.1606 5833.3257 5902.5269 5976.5698 6055.0293 6137.3550 6222.7310 6310.2500 6398.7588 6487.0605 6573.7939 6657.6177 6737.2793 6809.1309 6874.6992
    -0.1205    1.0436 5248.4395 5263.3730 5280.3926 5298.5146 5318.8330 5341.5698 5366.9521 5395.2485 5426.8115 5462.0327 5501.3789 5545.3286 5594.4038 5649.0698 5708.9595 5768.5376 5832.5122 5901.4907 5975.2847 6053.4722 6135.5137 6220.6064 6307.8608 6396.1382 6484.2622 6570.8804 6654.6577 6734.3159 6806.3042 6872.3291
     0.1205    1.0436 5248.4385 5263.3716 5280.3906 5298.5142 5318.8345 5341.5757 5366.9658 5395.2749 5426.8579 5462.1060 5501.4922 5545.4956 5594.6445 5649.4048 5709.3794 5769.0820 5833.2231 5902.3989 5976.4219 6054.8701 6137.1929 6222.5928 6310.1577 6398.7417 6487.1538 6574.0127 6657.9717 6737.7490 6809.6567 6875.1040
     0.3615    1.0436 5248.4375 5263.3677 5280.3818 5298.4971 5318.8057 5341.5308 5366.8965 5395.1763 5426.7207 5461.9238 5501.2549 5545.1943 5594.2695 5648.9502 5708.8857 5768.5298 5832.5991 5901.7065 5975.6719 6054.0688 6136.3521 6221.7202 6309.2720 6397.8511 6486.2778 6573.1699 6657.1992 6737.0645 6809.1011 6874.7886
     0.6025    1.0436 5248.4331 5263.3569 5280.3638 5298.4688 5318.7637 5341.4688 5366.8086 5395.0488 5426.5381 5461.6597 5500.8765 5544.6558 5593.5137 5647.9121 5707.6006 5766.8921 5830.4790 5899.0010 5972.2603 6049.8301 6131.1631 6215.4556 6301.8022 6389.0581 6476.0454 6561.3994 6643.8237 6722.0547 6793.1899 6859.9053
     0.8435    1.0436 5248.2358 5262.8232 5279.4048 5296.9355 5316.4819 5338.2593 5362.4624 5389.3179 5419.1240 5452.2070 5488.9580 5529.7734 5575.0854 5625.2910 5680.5117 5737.7939 5796.0327 5858.6060 5925.3398 5995.8726 6069.7305 6146.2417 6224.6440 6303.9756 6383.2505 6461.3105 6537.0581 6609.3198 6676.6294 6743.1021
     1.0845    1.0436 5247.9839 5262.1421 5278.1807 5294.9805 5313.5776 5334.1860 5356.9658 5382.1016 5409.8354 5440.4272 5474.1934 5511.4473 5552.5352 5597.7651 5647.4536 5701.3135 5754.5625 5810.1846 5869.3398 5931.7373 5997.0122 6064.6211 6133.9668 6204.2710 6274.7490 6344.4663 6412.5400 6478.0229 6539.7158 6601.4829
    -1.2050    0.8348 5247.9863 5262.1475 5278.1904 5294.9941 5313.5962 5334.2109 5356.9985 5382.1436 5409.8901 5440.5000 5474.2871 5511.5693 5552.6919 5597.9648 5647.7056 5701.6270 5754.9004 5810.5889 5869.8188 5932.2900 5997.6436 6065.3271 6134.7466 6205.1196 6275.6606 6345.4292 6413.5352 6479.0249 6540.6880 6602.3667
    -0.9640    0.8348 5248.2373 5262.8257 5279.4067 5296.9336 5316.4741 5338.2437 5362.4355 5389.2778 5419.0664 5452.1279 5488.8516 5529.6333 5574.9019 5625.0566 5680.2144 5737.4580 5795.6138 5858.0889 5924.7134 5995.1235 6068.8525 6145.2251 6223.4858 6302.6694 6381.7998 6459.7285 6535.3623 6607.5449 6674.8267 6741.3472
    -0.7230    0.8348 5248.4380 5263.3691 5280.3838 5298.5005 5318.8101 5341.5391 5366.9116 5395.2012 5426.7593 5461.9824 5501.3394 5545.3149 5594.4385 5649.1782 5709.1636 5768.8804 5833.0459 5902.2700 5976.3604 6054.8965 6137.3315 6222.8604 6310.5747 6399.3110 6487.8857 6574.9097 6659.0352 6738.9785 6810.9980 6876.4248
    -0.4820    0.8348 5248.6626 5263.9785 5281.4795 5300.2539 5321.4243 5345.2212 5371.9087 5401.8071 5435.3325 5472.9556 5515.2324 5562.7397 5616.1152 5675.6797 5738.6152 5803.3467 5873.9570 5950.3516 6032.3027 6119.3193 6210.7534 6305.6514 6402.9336 6501.2354 6599.1357 6695.0840 6786.2437 6865.7295 6931.2012 6996.2769
    -0.2410    0.8348 5248.6670 5263.9897 5281.5010 5300.2930 5321.4873 5345.3174 5372.0518 5402.0132 5435.6235 5473.3589 5515.7842 5563.4883 5617.1191 5676.9971 5740.1318 5805.2710 5876.3721 5953.3579 6036.0098 6123.8369 6216.1895 6312.1104 6410.5215 6510.0396 6609.2329 6706.5620 6798.6279 6877.4443 6943.8193 7009.4741
     0.0000    0.8348 5248.6670 5263.9888 5281.4976 5300.2837 5321.4702 5345.2915 5372.0127 5401.9600 5435.5522 5473.2676 5515.6694 5563.3452 5616.9458 5676.7866 5739.9072 5805.0044 5876.0601 5952.9917 6035.5830 6123.3398 6215.6099 6311.4365 6409.7329 6509.1206 6608.1724 6705.3696 6797.3574 6876.3130 6942.7397 7008.7437
     0.2410    0.8348 5248.6680 5263.9912 5281.5029 5300.2920 5321.4834 5345.3086 5372.0327 5401.9814 5435.5742 5473.2837 5515.6748 5563.3320 5616.9019 5676.7017 5739.7793 5804.8140 5875.7871 5952.6187 6035.0894 6122.7080 6214.8184 6310.4653 6408.5591 6507.7397 6606.5742 6703.5347 6795.3701 6874.3867 6940.5610 7006.1528
     0.4820    0.8348 5248.6631 5263.9795 5281.4814 5300.2578 5321.4312 5345.2314 5371.9238 5401.8271 5435.3608 5472.9912 5515.2778 5562.7983 5616.1880 5675.7725 5738.7207 5803.4834 5874.1289 5950.5688 6032.5820 6119.6650 6211.1772 6306.1567 6403.5210 6501.9023 6599.8652 6695.8643 6787.0322 6866.4155 6931.8906 6996.9404
     0.7230    0.8348 5248.4370 5263.3677 5280.3823 5298.4990 5318.8115 5341.5405 5366.9146 5395.2026 5426.7568 5461.9712 5501.3120 5545.2607 5594.3423 5649.0234 5708.9443 5768.5718 5832.6133 5901.6855 5975.6016 6053.9365 6136.1548 6221.4507 6308.9277 6397.4414 6485.8062 6572.6572 6656.6641 6736.5435 6808.6348 6874.4736
     0.9640    0.8348 5248.2373 5262.8262 5279.4082 5296.9365 5316.4780 5338.2480 5362.4385 5389.2778 5419.0610 5452.1138 5488.8247 5529.5894 5574.8379 5624.9658 5680.0942 5737.3203 5795.4438 5857.8872 5924.4780 5994.8540 6068.5566 6144.9072 6223.1538 6302.3408 6381.4795 6459.4253 6535.0894 6607.3218 6674.6743 6741.3237
     1.2050    0.8348 5247.9844 5262.1421 5278.1816 5294.9844 5313.5854 5334.1987 5356.9863 5382.1333 5409.8818 5440.4951 5474.2876 5511.5776 5552.7129 5598.0049 5647.7705 5701.7183 5755.0171 5810.7456 5870.0186 5932.5410 5997.9492 6065.6914 6135.1680 6205.6011 6276.2012 6346.0327 6414.2095 6479.7729 6541.5273 6603.3184
    -1.3255    0.6261 5247.9849 5262.1455 5278.1885 5294.9927 5313.5962 5334.2134 5357.0044 5382.1548 5409.9053 5440.5200 5474.3125 5511.5996 5552.7280 5598.0083 5647.7559 5701.6826 5754.9609 5810.6641 5869.9072 5932.4033 5997.7832 6065.5054 6134.9673 6205.3892 6275.9785 6345.7974 6413.9536 6479.4897 6541.2065 6602.9634
    -1.0845    0.6261 5248.2383 5262.8286 5279.4111 5296.9414 5316.4858 5338.2593 5362.4570 5389.3052 5419.1030 5452.1768 5488.9165 5529.7192 5575.0215 5625.2192 5680.4355 5737.7231 5795.9644 5858.5425 5925.2886 5995.8301 6069.7036 6146.2192 6224.6060 6303.8901 6383.0708 6460.9824 6536.5273 6608.5522 6675.6250 6741.9058
    -0.8435    0.6261 5248.4390 5263.3745 5280.3960 5298.5229 5318.8496 5341.5981 5366.9990 5395.3218 5426.9204 5462.1909 5501.6001 5545.6323 5594.8149 5649.6118 5709.6069 5769.3384 5833.5142 5902.7280 5976.7896 6055.2739 6137.6455 6223.0977 6310.7275 6399.3906 6487.8906 6574.8628 6658.9531 6738.8823 6810.9116 6876.4106
    -0.6025    0.6261 5248.6675 5263.9912 5281.5024 5300.2939 5321.4888 5345.3203 5372.0571 5402.0244 5435.6431 5473.3916 5515.8364 5563.5654 5617.2300 5677.1489 5740.3105 5805.5034 5876.6655 5953.7104 6036.4243 6124.3125 6216.7207 6312.6904 6411.1377 6510.6812 6609.8901 6707.2295 6799.2822 6878.0059 6944.3599 7009.9658
    -0.3615    0.6261 5248.8394 5264.4541 5282.3325 5301.6196 5323.4609 5348.0991 5375.8296 5407.0200 5442.1440 5481.7417 5526.4551 5576.9541 5633.9834 5697.6812 5762.6792 5832.4580 5908.8403 5991.7402 6080.9160 6175.8120 6275.6890 6379.4590 6485.8950 6593.4316 6700.6245 6803.3208 6891.5190 6969.1338 7036.7021 7104.3623
    -0.1205    0.6261 5248.8418 5264.4624 5282.3516 5301.6562 5323.5254 5348.2026 5375.9897 5407.2588 5442.4912 5482.2354 5527.1426 5577.8979 5635.2583 5699.3467 5764.5894 5834.8721 5911.8545 5995.4561 6085.4385 6181.2480 6282.1372 6387.0239 6494.6499 6603.4287 6711.9214 6815.4028 6902.6948 6980.8989 7048.5396 7116.5439
     0.1205    0.6261 5248.8413 5264.4604 5282.3462 5301.6465 5323.5098 5348.1792 5375.9585 5407.2153 5442.4312 5482.1523 5527.0303 5577.7456 5635.0518 5699.0723 5764.2676 5834.4590 5911.3301 5994.8071 6084.6558 6180.3330 6281.1118 6385.9111 6493.5098 6602.3359 6710.9634 6814.6777 6902.3579 6980.9429 7049.0220 7117.5679
