    -0.6025    1.4610  750.5472  748.9164  747.1086  744.7177  742.0991  739.2999  736.3437  733.2438  730.0267  726.7071  723.3133  719.8607  716.3782  712.8807  709.3962  705.9685  701.7879  697.4792  693.2977  689.2553  685.3794  681.6771  678.1725  674.8681  671.7848
   668.9200  666.2915  663.8908  661.7439  659.6841   -0.3615    1.4610  750.5473  748.9168  747.1092  744.7185  742.1003  739.3014  736.3458  733.2466  730.0303  726.7118  723.3192  719.8680  716.3871  712.8915  709.4090  705.9836  701.8095  697.5042  693.3263  689.2872
   685.4143  681.7146  678.2120  674.9087  671.8255  668.9595  666.3279  663.9227  661.7696  659.7013   -0.1205    1.4610  750.5473  748.9167  747.1088  744.7178  742.0991  739.2997  736.3434  733.2435  730.0262  726.7067  723.3130  719.8605  716.3784  712.8812  709.3974
   705.9705  701.7912  697.4846  693.3056  689.2661  685.3937  681.6951  678.1946  674.8941  671.8146  668.9531  666.3268  663.9275  661.7808  659.7200    0.1205    1.4610  750.5471  748.9161  747.1077  744.7162  742.0968  739.2968  736.3399  733.2393  730.0214  726.7013
   723.3070  719.8540  716.3711  712.8732  709.3884  705.9604  701.7775  697.4685  693.2872  689.2451  685.3700  681.6689  678.1665  674.8649  671.7854  668.9252  666.3022  663.9076  661.7673  659.7142    0.3615    1.4610  750.5472  748.9163  747.1083  744.7173  742.0985
   739.2992  736.3429  733.2430  730.0259  726.7064  723.3127  719.8602  716.3779  712.8804  709.3960  705.9685  701.7884  697.4797  693.2984  689.2560  685.3800  681.6775  678.1727  674.8680  671.7840  668.9182  666.2881  663.8853  661.7358  659.6732    0.6025    1.4610
   750.5474  748.9170  747.1094  744.7188  742.1005  739.3018  736.3462  733.2471  730.0311  726.7128  723.3204  719.8696  716.3888  712.8930  709.4101  705.9838  701.8080  697.5005  693.3197  689.2774  685.4008  681.6971  678.1907  674.8839  671.7980  668.9303  666.2990
   663.8958  661.7470  659.6858   -0.9640    1.2523  750.5472  748.9165  747.1088  744.7180  742.0997  739.3009  736.3453  733.2461  730.0298  726.7113  723.3187  719.8674  716.3864  712.8904  709.4076  705.9814  701.8060  697.4996  693.3201  689.2796  685.4051  681.7038
   678.1997  674.8950  671.8105  668.9435  666.3118  663.9072  661.7559  659.6913   -0.7230    1.2523  750.5186  748.8406  746.9428  744.4445  741.7075  738.7741  735.6698  732.4104  729.0249  725.5304  721.9576  718.3243  714.6617  710.9864  707.3446  703.2939  698.6861
   694.1888  689.8343  685.6355  681.6214  677.7995  674.1954  670.8112  667.6691  664.7662  662.1207  659.7240  657.6028  655.5905   -0.4820    1.2523  750.5181  748.8392  746.9403  744.4408  741.7024  738.7671  735.6606  732.3985  729.0095  725.5110  721.9332  718.2941
   714.6248  710.9419  707.2924  703.2179  698.5985  694.0891  689.7221  685.5106  681.4840  677.6501  674.0346  670.6400  667.4884  664.5769  661.9243  659.5215  657.3957  655.3800   -0.2410    1.2523  750.5183  748.8397  746.9406  744.4403  741.7009  738.7642  735.6559
   732.3917  729.0003  725.4992  721.9190  718.2774  714.6060  710.9212  707.2704  703.1859  698.5663  694.0576  689.6918  685.4822  681.4579  677.6266  674.0141  670.6228  667.4748  664.5672  661.9184  659.5192  657.3972  655.3851    0.0000    1.2523  750.5182  748.8393
   746.9403  744.4403  741.7013  738.7652  735.6579  732.3948  729.0050  725.5053  721.9268  718.2871  714.6173  710.9340  707.2847  703.2070  698.5884  694.0799  689.7141  685.5041  681.4788  677.6465  674.0323  670.6389  667.4884  664.5778  661.9250  659.5211  657.3923
   655.3708    0.2410    1.2523  750.5182  748.8394  746.9401  744.4397  741.7003  738.7637  735.6559  732.3924  729.0020  725.5020  721.9232  718.2832  714.6133  710.9302  707.2811  703.2026  698.5852  694.0782  689.7141  685.5056  681.4818  677.6504  674.0368  670.6433
   667.4920  664.5796  661.9251  659.5194  657.3907  655.3720    0.4820    1.2523  750.5184  748.8397  746.9406  744.4401  741.7004  738.7634  735.6547  732.3902  728.9986  725.4974  721.9173  718.2760  714.6051  710.9211  707.2715  703.1894  698.5724  694.0666  689.7045
   685.4992  681.4799  677.6542  674.0477  670.6624  667.5202  664.6178  661.9732  659.5768  657.4553  655.4407    0.7230    1.2523  750.5184  748.8402  746.9422  744.4435  741.7064  738.7726  735.6679  732.4082  729.0221  725.5268  721.9530  718.3183  714.6539  710.9766
