  5225.3647 6341.9756
    -0.6025    1.4610 5204.4058 5216.9932 5230.8291 5245.9253 5262.3140 5279.9121 5297.6870 5316.7124 5337.1440 5359.0664 5382.5928 5407.8320 5434.9131 5463.9468 5495.0547 5528.3154 5563.8013 5601.5195 5641.4595 5683.3447 5725.1479 5765.4580 5806.4888 5848.1685 5890.1777 5932.1152 5973.6211 6014.2637 6053.5391 6093.5571
    -0.3615    1.4610 5204.4092 5217.0024 5230.8447 5245.9482 5262.3452 5279.9478 5297.7300 5316.7637 5337.2046 5359.1387 5382.6782 5407.9336 5435.0332 5464.0894 5495.2227 5528.5107 5564.0303 5601.7861 5641.7705 5683.6982 5725.5137 5765.8628 5806.9590 5848.7173 5890.8257 5932.8823 5974.5327 6015.3525 6054.8311 6095.1045
    -0.1205    1.4610 5204.7471 5217.6743 5231.8511 5247.2861 5264.0117 5281.8364 5299.9126 5319.2954 5340.1182 5362.4707 5386.4756 5412.2520 5439.9399 5469.6577 5501.5366 5535.6611 5572.1138 5610.9023 5652.0000 5694.9932 5736.8755 5778.0752 5820.3105 5863.2495 5906.5649 5949.8413 5992.7056 6034.7197 6075.3599 6116.8604
     0.1205    1.4610 5247.0679 5259.8135 5273.9312 5288.7495 5304.5234 5321.7148 5340.4014 5360.6685 5382.6304 5406.4019 5432.1265 5459.9355 5489.9824 5522.3901 5557.2886 5594.7529 5634.8550 5677.4482 5720.9146 5763.1128 5806.5728 5851.3813 5897.2563 5943.8198 5990.7104 6037.4702 6083.6968 6128.9150 6172.5352 6217.1230
     0.3615    1.4610 5247.2451 5260.1714 5274.4722 5289.4248 5305.3735 5322.7441 5341.6221 5362.0952 5384.2827 5408.3027 5434.3042 5462.4243 5492.8203 5525.6216 5560.9653 5598.9297 5639.5908 5682.7612 5726.3789 5769.0151 5813.1040 5858.5884 5905.1860 5952.5083 6000.1880 6047.7583 6094.7993 6140.8271 6185.2402 6230.6787
     0.6025    1.4610 5247.2461 5260.1738 5274.4780 5289.4351 5305.3901 5322.7695 5341.6597 5362.1489 5384.3560 5408.4033 5434.4390 5462.6006 5493.0483 5525.9111 5561.3276 5599.3755 5640.1338 5683.4087 5727.0757 5769.7949 5813.9941 5859.5903 5906.3018 5953.7427 6001.5410 6049.2300 6096.3921 6142.5415 6187.0654 6232.6196
    -0.9640    1.2523 5204.4058 5216.9932 5230.8291 5245.9243 5262.3120 5279.9062 5297.6787 5316.6992 5337.1235 5359.0376 5382.5532 5407.7783 5434.8428 5463.8550 5494.9360 5528.1646 5563.6133 5601.2861 5641.1743 5683.0039 5724.7754 5765.0332 5806.0020 5847.6152 5889.5605 5931.4429 5972.9033 6013.5190 6052.7949 6092.8511
    -0.7230    1.2523 5204.5776 5217.4561 5231.6982 5247.3179 5264.3481 5282.5576 5301.1260 5321.1255 5342.6831 5365.9043 5390.9248 5417.8794 5446.9268 5478.2017 5511.8496 5547.9678 5586.6411 5627.8770 5671.5693 5716.3623 5759.3569 5803.1890 5848.0630 5893.5732 5939.3232 5984.8213 6029.6172 6073.1953 6114.9502 6157.1240
    -0.4820    1.2523 5204.5801 5217.4619 5231.7100 5247.3389 5264.3833 5282.6079 5301.1982 5321.2271 5342.8228 5366.0918 5391.1719 5418.1992 5447.3320 5478.7090 5512.4746 5548.7275 5587.5498 5628.9507 5672.8071 5717.6470 5760.7402 5804.7036 5849.6987 5895.3232 5941.1851 5986.8032 6031.7300 6075.4678 6117.4243 6159.8799
    -0.2410    1.2523 5204.7520 5217.8057 5232.2271 5248.0288 5265.2446 5283.5840 5302.3257 5322.5322 5344.3208 5367.7993 5393.1113 5420.3975 5449.8213 5481.5269 5515.6650 5552.3394 5591.6406 5633.5815 5677.9810 5722.9502 5766.4614 5811.0454 5856.7100 5903.0552 5949.6841 5996.1025 6041.8633 6086.4468 6129.2383 6172.5684
