     -0.603     1.461    64.280    37.304    26.133    20.042    16.222    13.616    11.734    10.321     9.230     8.371     7.685     7.135     6.693     6.341     6.066     5.859     5.717     5.634     5.612     5.657
      5.776     5.983     6.301     6.766     7.438     8.423     9.926    12.394    17.011    28.262    -0.361     1.461    64.280    37.304    26.133    20.041    16.222    13.616    11.734    10.321     9.230     8.370
      7.685     7.134     6.692     6.340     6.065     5.859     5.717     5.633     5.612     5.657     5.776     5.984     6.302     6.766     7.438     8.424     9.927    12.395    17.014    28.267    -0.120     1.461
     64.280    37.303    26.133    20.041    16.222    13.616    11.734    10.321     9.230     8.371     7.686     7.136     6.694     6.342     6.067     5.861     5.719     5.636     5.615     5.660     5.779     5.987
      6.306     6.771     7.443     8.429     9.934    12.403    17.023    28.280     0.120     1.461    64.280    37.303    26.133    20.041    16.222    13.616    11.734    10.321     9.230     8.371     7.685     7.135
      6.693     6.341     6.066     5.860     5.718     5.635     5.613     5.658     5.778     5.985     6.303     6.768     7.440     8.426     9.930    12.399    17.018    28.274     0.361     1.461    64.280    37.304
     26.133    20.041    16.222    13.615    11.734    10.321     9.230     8.370     7.685     7.135     6.693     6.341     6.066     5.860     5.718     5.635     5.614     5.659     5.779     5.986     6.305     6.770
      7.442     8.428     9.933    12.402    17.021    28.277     0.603     1.461    64.280    37.304    26.133    20.041    16.222    13.616    11.734    10.321     9.230     8.371     7.685     7.135     6.693     6.341
      6.066     5.860     5.718     5.634     5.613     5.658     5.777     5.984     6.302     6.767     7.439     8.425     9.929    12.397    17.016    28.271    -0.964     1.252    64.280    37.304    26.133    20.042
     16.222    13.616    11.734    10.321     9.230     8.371     7.685     7.135     6.693     6.341     6.066     5.860     5.718     5.635     5.613     5.658     5.777     5.985     6.303     6.768     7.440     8.425
      9.929    12.397    17.016    28.269    -0.723     1.252    58.042    33.666    23.568    18.058    14.600    12.239    10.533     9.250     8.259     7.477     6.852     6.349     5.945     5.621     5.367     5.176
      5.038     4.956     4.928     4.959     5.056     5.230     5.501     5.901     6.481     7.335     8.640    10.786    14.804    24.602    -0.482     1.252    58.041    33.666    23.568    18.057    14.600    12.239
     10.533     9.250     8.258     7.476     6.851     6.349     5.944     5.620     5.365     5.174     5.037     4.954     4.926     4.957     5.054     5.228     5.499     5.898     6.477     7.330     8.635    10.778
     14.791    24.576    -0.241     1.252    58.041    33.666    23.567    18.057    14.600    12.239    10.532     9.249     8.258     7.476     6.851     6.348     5.943     5.619     5.364     5.173     5.036     4.953
      4.925     4.956     5.053     5.227     5.497     5.896     6.475     7.328     8.632    10.774    14.786    24.567     0.000     1.252    58.041    33.666    23.567    18.057    14.600    12.239    10.532     9.249
      8.258     7.475     6.850     6.347     5.942     5.618     5.364     5.172     5.035     4.952     4.924     4.955     5.051     5.224     5.495     5.894     6.473     7.325     8.629    10.770    14.782    24.560
      0.241     1.252    58.041    33.666    23.567    18.057    14.600    12.238    10.532     9.249     8.258     7.475     6.850     6.347     5.942     5.618     5.364     5.172     5.035     4.952     4.924     4.954
      5.050     5.224     5.494     5.892     6.471     7.323     8.626    10.768    14.778    24.556     0.482     1.252    58.041    33.666    23.567    18.057    14.600    12.239    10.532     9.249     8.258     7.476
      6.851     6.348     5.943     5.619     5.364     5.173     5.036     4.953     4.926     4.957     5.053     5.227     5.498     5.898     6.478     7.331     8.636    10.779    14.794    24.581     0.723     1.252
     58.042    33.666    23.568    18.058    14.601    12.239    10.533     9.250     8.259     7.477     6.852     6.349     5.944     5.621     5.366     5.175     5.038     4.955     4.928     4.959     5.055     5.230
      5.501     5.900     6.481     7.335     8.641    10.786    14.805    24.603     0.964     1.252    64.280    37.304    26.133    20.042    16.222    13.616    11.734    10.321     9.230     8.371     7.686     7.135
      6.693     6.341     6.066     5.860     5.718     5.635     5.613     5.658     5.778     5.985     6.303     6.768     7.440     8.425     9.929    12.397    17.014    28.267    -1.085     1.044    64.280    37.304
     26.133    20.041    16.222    13.616    11.734    10.321     9.230     8.371     7.686     7.135     6.694     6.342     6.067     5.861     5.719     5.636     5.615     5.660     5.779     5.987     6.305     6.771
      7.443     8.429     9.934    12.404    17.024    28.281    -0.843     1.044    58.041    33.666    23.568    18.057    14.600    12.239    10.533     9.250     8.258     7.476     6.851     6.348     5.943     5.619
      5.365     5.174     5.036     4.953     4.925     4.956     5.053     5.226     5.497     5.896     6.475     7.328     8.631    10.773    14.786    24.566    -0.603     1.044    53.966    31.289    21.891    16.761
     13.540    11.338     9.746     8.548     7.621     6.889     6.304     5.832     5.451     5.145     4.904     4.721     4.587     4.504     4.472     4.493     4.575     4.726     4.965     5.321     5.839     6.603
      7.775     9.702    13.314    22.123    -0.361     1.044    53.965    31.288    21.890    16.760    13.539    11.337     9.745     8.547     7.620     6.888     6.302     5.829     5.448     5.142     4.901     4.716
      4.583     4.499     4.466     4.487     4.567     4.717     4.955     5.308     5.823     6.584     7.750     9.668    13.263    22.033    -0.120     1.044    53.965    31.288    21.890    16.760    13.539    11.337
      9.745     8.547     7.620     6.888     6.302     5.830     5.448     5.142     4.901     4.717     4.583     4.499     4.466     4.487     4.567     4.717     4.954     5.307     5.822     6.583     7.748     9.666
     13.261    22.028     0.120     1.044    53.965    31.288    21.890    16.760    13.539    11.337     9.745     8.547     7.620     6.888     6.302     5.829     5.448     5.142     4.901     4.717     4.583     4.499
      4.467     4.487     4.567     4.717     4.955     5.308     5.823     6.584     7.749     9.667    13.263    22.032     0.361     1.044    53.965    31.288    21.891    16.760    13.539    11.337     9.745     8.547
