     -0.603     1.461   138.447    80.522    56.587    43.580    35.458    29.940    25.977    23.017    20.749    18.979    17.582    16.477    15.606    14.932    14.427    14.075    13.866    13.800    13.880    14.119
     14.542    15.186    16.111    17.416    19.255    21.908    25.915    32.445    44.605    74.173    -0.361     1.461   138.447    80.521    56.586    43.579    35.455    29.938    25.974    23.014    20.745    18.975
     17.578    16.473    15.602    14.927    14.422    14.070    13.861    13.794    13.874    14.113    14.535    15.178    16.102    17.407    19.243    21.894    25.898    32.423    44.574    74.119    -0.120     1.461
    138.384    80.449    56.510    43.503    35.380    29.862    25.899    22.939    20.671    18.900    17.503    16.397    15.525    14.849    14.341    13.987    13.775    13.704    13.779    14.012    14.427    15.062
     15.976    17.265    19.081    21.704    25.668    32.129    44.161    73.417     0.120     1.461   130.842    76.116    53.503    41.213    33.533    28.316    24.570    21.775    19.633    17.961    16.642    15.599
     14.777    14.141    13.665    13.334    13.139    13.078    13.157    13.386    13.790    14.405    15.283    16.518    18.262    20.781    24.587    30.787    42.333    70.401     0.361     1.461   130.812    76.081
     53.466    41.175    33.496    28.279    24.532    21.737    19.595    17.923    16.604    15.559    14.737    14.099    13.622    13.289    13.092    13.029    13.104    13.330    13.730    14.339    15.210    16.436
     18.169    20.673    24.454    30.617    42.094    69.993     0.603     1.461   130.811    76.080    53.466    41.174    33.495    28.278    24.531    21.736    19.593    17.921    16.602    15.557    14.735    14.097
     13.620    13.287    13.089    13.026    13.101    13.326    13.726    14.334    15.204    16.429    18.160    20.662    24.441    30.599    42.067    69.947    -0.964     1.252   138.448    80.522    56.587    43.581
     35.458    29.940    25.976    23.017    20.748    18.978    17.582    16.476    15.606    14.931    14.426    14.073    13.865    13.798    13.878    14.118    14.540    15.184    16.109    17.414    19.253    21.905
     25.912    32.442    44.602    74.171    -0.723     1.252   125.030    72.700    51.072    39.315    31.970    26.979    23.390    20.710    18.653    17.047    15.778    14.773    13.979    13.361    12.897    12.570
     12.373    12.303    12.364    12.567    12.934    13.498    14.314    15.463    17.087    19.435    22.985    28.774    39.560    65.791    -0.482     1.252   125.030    72.700    51.071    39.315    31.969    26.977
     23.389    20.707    18.650    17.044    15.774    14.768    13.973    13.355    12.890    12.563    12.365    12.294    12.354    12.556    12.922    13.485    14.299    15.447    17.068    19.413    22.959    28.741
     39.513    65.712    -0.241     1.252   125.002    72.666    51.037    39.279    31.934    26.942    23.353    20.672    18.615    17.008    15.739    14.732    13.937    13.319    12.853    12.524    12.324    12.252
     12.309    12.509    12.872    13.430    14.240    15.380    16.992    19.324    22.850    28.602    39.317    65.378     0.000     1.252   118.215    68.782    48.351    37.243    30.299    25.578    22.186    19.653
