   725.3447  697.1313  658.5958  619.5863  581.1832  543.8637  507.8578  473.2799  440.1828  408.3793  308.1887  295.2918  755.1851  725.7691  685.4612  644.5125  604.0437  564.5514  526.2769  489.3419  453.8050  419.4669  310.9598  297.0031  784.3307  753.7439  711.7102  668.8730  626.3923  584.7837  544.2991  505.0675
   467.1531  430.3450  313.7330  298.7438  812.5015  780.7877  737.0923  692.4365  648.0179  604.3703  561.7561  520.3114  480.1053  440.9162  316.4900  300.5061  839.4308  806.6438  761.3662  714.9786  668.7147  623.1253  578.4828  534.9297  492.5404  451.0824  319.2099  302.2785  864.8710  831.0727  784.3042  736.2853
   688.2833  640.8656  594.3139  548.7769  504.3338  460.7421  321.8674  304.0465  888.5922  853.8557  805.7034  756.1691  706.5517  657.4337  609.1055  561.7219  515.3662  469.7867  324.3884  305.7391  910.3716  874.7805  825.3669  774.4509  723.3600  672.6904  622.7404  573.6702  525.5671  478.1711  326.8095  307.4032
   930.0045  893.6508  843.1110  790.9606  738.5525  686.4953  635.0944  584.5146  534.8470  485.8239  329.1203  309.0363  947.3065  910.2897  858.7699  805.5446  751.9887  698.7214  646.0545  594.1568  543.1227  492.6778  331.3050  310.6293  962.1157  924.5421  872.1983  818.0681  763.5451  709.2573  655.5217  602.5107
   550.3214  498.6737  333.3498  312.1739  974.2901  936.2718  883.2687  828.4132  773.1135  718.0051  663.4089  609.5004  556.3786  503.7592  335.2415  313.6619  983.7135  945.3673  891.8766  836.4830  780.6055  724.8849  669.6451  615.0639  561.2420  507.8917  336.9694  315.0865  990.3013  951.7475  897.9458  842.2065
   785.9557  729.8372  674.1773  619.1548  564.8718  511.0383  338.5240  316.4409  993.9961  955.3572  901.4242  845.5354  789.1195  732.8218  676.9691  621.7413  567.2408  513.1767  339.8982  317.7200  994.7680  956.1672  902.2843  846.4439  790.0730  733.8163  678.0005  622.8052  568.3330  514.2932  341.0861  318.9188
   992.6155  954.1761  900.5241  844.9295  788.8134  732.8180  677.2685  622.3437  568.1455  514.3847  342.0842  320.0336  987.5661  949.4092  896.1668  841.0130  785.3592  729.8428  674.7865  620.3675  566.6865  513.4570  342.8902  321.0610  979.6763  941.9200  889.2613  834.7387  779.7499  724.9257  670.5850  616.9024
   563.9772  511.5263  343.5043  321.9990  969.0246  931.7829  879.8758  826.1685  772.0409  718.1153  664.7058  611.9840  560.0464  508.6149  343.9270  322.8455  955.7068  919.0895  868.0952  815.3793  762.3007  709.4716  657.2004  605.6548  554.9285  504.7491  344.1595  323.5987  939.8649  903.9768  854.0482  802.4897
   750.6356  699.0868  648.1459  597.9766  548.6701  499.9615  344.1920  324.2450  921.6644  886.6040  837.8859  787.6418  737.1781  687.0826  637.6504  589.0407  541.3414  494.2960  343.9747  324.7211  901.2887  867.1471  819.7730  770.9889  722.0702  673.5897  625.8344  578.9580  533.0447  487.8467  343.5755  325.0885
   878.9463  845.8053  799.8956  752.7030  705.4686  658.7495  612.8234  567.8382  523.8739  480.6925  343.0254  325.3746  854.8602  822.7924  778.4534  732.9681  687.5414  642.7129  598.7505  555.7961  513.9249  472.9093  342.3362  325.5831  829.2762  798.3432  755.6659  711.9871  668.4733  625.6458  583.7624  542.9580
   503.3033  464.5816  341.5215  325.7190  802.4553  772.7078  731.7663  689.9752  648.4607  607.7248  568.0147  529.4584  492.1213  455.7984  340.5959  325.7870  774.6914  746.1665  707.0160  667.1728  627.7218  589.1454  551.6795  515.4450  480.5020  446.6575  339.5735  325.7908  746.7100  719.4123  682.0600  644.1740
   606.7978  570.3943  535.1886  501.2943  468.7667  437.4247  338.5418  325.7946
