   736.9194  708.3674  669.3259  629.7553  590.7469  552.7833  516.0976  480.8063  446.9641  414.3800  311.6166  298.3919
   773.6736  743.6259  702.3812  660.4016  618.8285  578.1687  538.6690  500.4552  463.5889  427.8644  314.7980  300.2609
   809.5502  778.0457  734.6556  690.3303  646.2601  602.9751  560.7356  519.6761  479.8649  441.0820  317.9813  302.1666
   844.2333  811.3223  765.8606  719.2703  672.7889  626.9691  582.0843  538.2779  495.6245  453.8905  321.1081  304.0621
   877.4025  843.1513  795.7153  746.9657  698.1850  649.9476  602.5391  556.1112  510.7448  466.1930  324.1653  305.9434
   908.7417  873.2300  823.9364  773.1550  722.2102  671.6970  621.9125  573.0161  525.0946  477.8886  327.1523  307.8233
   937.9527  901.2724  850.2564  797.5903  744.6379  692.0127  640.0228  588.8348  538.5409  488.8702  330.0457  309.6892
   964.7578  927.0123  874.4259  820.0408  765.2565  710.7039  656.7007  603.4202  550.9595  499.0371  332.8231  311.5286
   988.9031  950.2065  896.2169  840.2953  783.8730  727.5962  671.7914  616.6377  562.2368  508.2978  335.4643  313.3302
  1010.1594  970.6350  915.4235  858.1631  800.3128  742.5318  685.1547  628.3655  572.2699  516.5686  337.9501  315.0829
  1028.3217  988.1014  931.8618  873.4739  814.4198  755.3700  696.6655  638.4948  580.9668  523.7752  340.2631  316.7766
  1043.2145 1002.4376  945.3743  886.0817  826.0604  765.9900  706.2166  646.9321  588.2482  529.8532  342.3873  318.4012
  1054.6997 1013.5109  955.8365  895.8710  835.1288  774.2960  713.7225  653.6031  594.0511  534.7510  344.3097  319.9485
  1062.6710 1021.2193  963.1525  902.7528  841.5431  780.2136  719.1169  658.4494  598.3259  538.4280  346.0187  321.4106
  1067.0562 1025.4931  967.2568  906.6659  845.2468  783.6917  722.3540  661.4309  601.0380  540.8557  347.5056  322.7811
  1067.8180 1026.2959  968.1142  907.5770  846.2090  784.7014  723.4074  662.5242  602.1671  542.0168  348.7632  324.0538
  1064.9564 1023.6263  965.7219  905.4820  844.4245  783.2373  722.2717  661.7235  601.7075  541.9058  349.7870  325.2245
  1058.5076 1017.5176  960.1086  900.4049  839.9126  779.3142  718.9575  659.0364  599.6639  540.5252  350.5725  326.2881
  1048.5246 1008.0211  951.3221  892.3880  832.7088  772.9594  713.4838  654.4732  596.0390  537.8712  351.0988  327.2236
  1035.1095  995.2368  939.4588  881.5239  822.9004  764.2531  705.9207  648.0907  590.8720  533.9609  351.3033  327.9535
  1018.4052  979.3016  924.6480  867.9335  810.6007  753.3018  696.3686  639.9841  584.2540  528.8821  351.2635  328.5549
   998.5819  960.3783  907.0413  851.7570  795.9375  740.2206  684.9297  630.2427  576.2616  522.6985  351.0032  329.0473
   975.8423  938.6609  886.8198  833.1615  779.0631  725.1461  671.7245  618.9704  566.9812  515.4790  350.5329  329.4339
   950.4132  914.3663  864.1863  812.3339  760.1479  708.2313  656.8881  606.2834  556.5097  507.3004  349.8637  329.7171
   922.5523  887.7412  839.3710  789.4868  739.3855  689.6503  640.5738  592.3139  544.9577  498.2504  349.0092  329.9015
   892.5355  859.0495  812.6204  764.8478  716.9836  669.5895  622.9462  577.2037  532.4433  488.4230  347.9837  329.9909
   860.6671  828.5825  784.2067  738.6681  693.1709  648.2546  604.1868  561.1093  519.0974  477.9224  346.8041  329.9912
   827.2683  796.6475  754.4169  711.2125  668.1893  625.8627  584.4874  544.1961  505.0580  466.8585  345.4878  329.9083
   792.6938  763.5833  723.5665  682.7717  642.3026  602.6504  564.0558  526.6429  490.4739  455.3490  344.0519  329.7464
   757.6525  730.0684  692.2895  653.9314  616.0464  579.1011  543.3228  508.8263  475.6675  443.6617  342.5863  329.5726
