 -0.602500E+00  0.146098E+01  0.614696E+01  0.626995E-03
 -0.361500E+00  0.146098E+01  0.462397E+00  0.727288E-03
 -0.120500E+00  0.146098E+01  0.228932E+01  0.412471E-03
  0.120500E+00  0.146098E+01  0.292286E+01  0.272690E-03
  0.361500E+00  0.146098E+01  0.243918E+01  0.194886E-03
  0.602500E+00  0.146098E+01  0.426702E+01  0.402224E-03
 -0.964000E+00  0.125227E+01  0.241583E+01  0.296256E-03
 -0.723000E+00  0.125227E+01  0.570525E+01  0.305018E-03
 -0.482000E+00  0.125227E+01  0.121763E+00  0.766096E-03
 -0.241000E+00  0.125227E+01  0.129082E+01  0.524219E-03
  0.000000E+00  0.125227E+01  0.259155E+01  0.306684E-03
  0.241000E+00  0.125227E+01  0.478459E+01  0.204416E-03
  0.482000E+00  0.125227E+01  0.439831E+01  0.222881E-03
  0.723000E+00  0.125227E+01  0.471497E+00  0.216523E-03
  0.964000E+00  0.125227E+01  0.776167E+00  0.298522E-03
 -0.108450E+01  0.104356E+01  0.325678E+01  0.152652E-03
 -0.843500E+00  0.104356E+01  0.698076E+00  0.826231E-04
 -0.602500E+00  0.104356E+01  0.622712E+01  0.500136E-03
 -0.361500E+00  0.104356E+01  0.723941E+00  0.281097E-03
 -0.120500E+00  0.104356E+01  0.906471E+00  0.235320E-03
  0.120500E+00  0.104356E+01  0.590743E+01  0.186573E-03
  0.361500E+00  0.104356E+01  0.329004E+01  0.193297E-03
  0.602500E+00  0.104356E+01  0.276677E+01  0.247260E-03
  0.843500E+00  0.104356E+01  0.589130E+01  0.429545E-03
  0.108450E+01  0.104356E+01  0.557537E+01  0.380130E-03
 -0.120500E+01  0.834848E+00  0.419596E+01  0.498520E-03
 -0.964000E+00  0.834848E+00  0.388344E+01  0.541395E-03
 -0.723000E+00  0.834848E+00  0.866032E+00  0.308512E-03
 -0.482000E+00  0.834848E+00  0.961913E+00  0.619952E-03
 -0.241000E+00  0.834848E+00  0.118639E+01  0.396564E-03
