  1000.0127  996.4565  992.0751  988.1128  984.6723  981.7654  979.3680  977.4416  975.9413  974.8136  971.7432  971.5004
   999.7554  996.1483  991.6925  987.6495  984.1240  981.1286  978.6399  976.6196  975.0234  973.7973  970.4060  970.1165
   999.4108  995.7583  991.2365  987.1225  983.5224  980.4498  977.8817  975.7802  974.1011  972.7902  969.1227  968.7931
   999.1196  995.4272  990.8474  986.6709  983.0052  979.8646  977.2266  975.0534  973.3013  971.9157  968.0047  967.6397
   998.8451  995.1169  990.4850  986.2524  982.5279  979.3264  976.6257  974.3886  972.5712  971.1187  966.9902  966.5936
   998.6241  994.8642  990.1862  985.9039  982.1272  978.8715  976.1152  973.8210  971.9455  970.4334  966.1110  965.6862
   998.4030  994.6144  989.8949  985.5679  981.7444  978.4402  975.6340  973.2889  971.3613  969.7961  965.3007  964.8508
   998.2233  994.4098  989.6540  985.2879  981.4232  978.0765  975.2266  972.8366  970.8634  969.2514  964.6037  964.1317
   998.0574  994.2220  989.4343  985.0339  981.1333  977.7493  974.8611  972.4320  970.4188  968.7660  963.9854  963.4940
   997.9350  994.0811  989.2667  984.8373  980.9063  977.4908  974.5701  972.1078  970.0608  968.3732  963.4796  962.9718
   997.8237  993.9543  989.1174  984.6638  980.7073  977.2654  974.3176  971.8275  969.7522  968.0357  963.0477  962.5263
   997.7574  993.8760  989.0216  984.5490  980.5726  977.1100  974.1409  971.6289  969.5312  967.7917  962.7291  962.1968
   997.6983  993.8078  988.9401  984.4531  980.4616  976.9834  973.9982  971.4697  969.3552  967.5985  962.4797  961.9393
   997.6709  993.7745  988.8983  984.4021  980.4009  976.9126  973.9169  971.3777  969.2522  967.4843  962.3289  961.7831
   997.6587  993.7595  988.8791  984.3783  980.3723  976.8790  973.8781  971.3336  969.2027  967.4292  962.2557  961.7073
   997.6862  993.7876  988.9079  984.4078  980.4025  976.9098  973.9095  971.3655  969.2350  967.4620  962.2899  961.7416
   997.7277  993.8325  988.9578  984.4631  980.4633  976.9763  973.9818  971.4437  969.3193  967.5524  962.4001  961.8547
   997.8101  993.9218  989.0570  984.5729  980.5841  977.1084  974.1255  971.5991  969.4866  967.7318  962.6188  962.0791
   997.9049  994.0265  989.1759  984.7070  980.7341  977.2748  974.3086  971.7994  969.7042  967.9672  962.9120  962.3806
   998.0417  994.1765  989.3451  984.8967  980.9451  977.5077  974.5641  972.0778  970.0059  968.2926  963.3146  962.7944
   998.1837  994.3346  989.5264  985.1029  981.1775  977.7671  974.8512  972.3931  970.3500  968.6661  963.7836  963.2773
   998.3603  994.5306  989.7505  985.3572  981.4632  978.0854  975.2028  972.7788  970.7703  969.1218  964.3544  963.8648
   998.5541  994.7468  989.9991  985.6407  981.7833  978.4431  975.5992  973.2147  971.2465  969.6391  965.0055  964.5353
   998.7855  995.0041  990.2938  985.9755  982.1601  978.8634  976.0640  973.7249  971.8029  970.2428  965.7629  965.3149
   999.0341  995.2816  990.6133  986.3402  982.5720  979.3241  976.5748  974.2869  972.4171  970.9102  966.6037  966.1808
   999.3230  995.6032  990.9822  986.7599  983.0449  979.8519  977.1589  974.9286  973.1173  971.6703  967.5585  967.1639
   999.6317  995.9482  991.3796  987.2138  983.5578  980.4259  977.7956  975.6294  973.8833  972.5031  968.6084  968.2454
   999.9879  996.3451  991.8355  987.7330  984.1433  981.0799  978.5199  976.4255  974.7526  973.4471  969.7958  969.4680
  1000.3754  996.7783  992.3350  988.3038  984.7888  981.8026  979.3220  977.3086  975.7183  974.4972  971.1207  970.8328
  1000.8272  997.2834  992.9174  988.9693  985.5414  982.6452  980.2570  978.3381  976.8440  975.7214  972.6653  972.4240
