  1000.1297  996.5879  992.2274  988.2876  984.8707  981.9881  979.6158  977.7150  976.2408  975.1399  972.1564  971.9263
   999.9250  996.3386  991.9128  987.9023  984.4107  981.4504  978.9979  977.0145  975.4559  974.2683  971.0022  970.7309
   999.6248  995.9984  991.5146  987.4415  983.8843  980.8559  978.3334  976.2784  974.6468  973.3844  969.8749  969.5682
   999.3730  995.7116  991.1767  987.0485  983.4335  980.3453  977.7611  975.6430  973.9470  972.6186  968.8944  968.5565
   999.1335  995.4404  990.8597  986.6821  983.0152  979.8732  977.2338  975.0592  973.3056  971.9183  968.0021  967.6363
   998.9440  995.2231  990.6018  986.3804  982.6675  979.4779  976.7894  974.5645  972.7595  971.3197  967.2323  966.8417
   998.7506  995.0044  990.3465  986.0857  982.3315  979.0991  976.3666  974.0967  972.2459  970.7591  966.5189  966.1061
   998.5957  994.8275  990.1376  985.8423  982.0519  978.7819  976.0108  973.7014  971.8102  970.2822  965.9075  965.4751
   998.4510  994.6636  989.9456  985.6200  981.7979  978.4950  975.6901  973.3461  971.4197  969.8555  965.3635  964.9140
   998.3470  994.5434  989.8018  985.4507  981.6017  978.2711  975.4376  973.0643  971.1079  969.5131  964.9212  964.4573
   998.2508  994.4335  989.6721  985.2996  981.4282  978.0743  975.2168  972.8189  970.8376  969.2172  964.5420  964.0659
   998.1967  994.3689  989.5921  985.2030  981.3140  977.9418  975.0655  972.6484  970.6473  969.0066  964.2654  963.7798
   998.1466  994.3107  989.5222  985.1204  981.2181  977.8322  974.9416  972.5099  970.4940  968.8381  964.0473  963.5544
   998.1252  994.2842  989.4882  985.0783  981.1675  977.7726  974.8729  972.4317  970.4060  968.7402  963.9170  963.4194
   998.1158  994.2723  989.4726  985.0587  981.1437  977.7444  974.8401  972.3942  970.3638  968.6931  963.8538  963.3539
   998.1433  994.3003  989.5013  985.0881  981.1736  977.7749  974.8712  972.4258  970.3958  968.7255  963.8875  963.3877
   998.1814  994.3415  989.5470  985.1385  981.2289  977.8353  974.9367  972.4965  970.4719  968.8069  963.9865  963.4893
   998.2576  994.4239  989.6382  985.2391  981.3394  977.9557  975.0673  972.6376  970.6234  968.9692  964.1836  963.6914
   998.3430  994.5180  989.7449  985.3593  981.4735  978.1044  975.2309  972.8162  970.8175  969.1790  964.4444  963.9595
   998.4677  994.6544  989.8982  985.5307  981.6639  978.3142  975.4606  973.0662  971.0880  969.4705  964.8042  964.3293
   998.5941  994.7950  990.0593  985.7139  981.8702  978.5444  975.7152  973.3458  971.3931  969.8015  965.2197  964.7570
   998.7523  994.9704  990.2596  985.9409  982.1250  978.8279  976.0282  973.6889  971.7668  970.2065  965.7264  965.2784
   998.9244  995.1623  990.4801  986.1922  982.4086  979.1448  976.3793  974.0749  972.1883  970.6644  966.3025  965.8716
   999.1312  995.3919  990.7428  986.4904  982.7439  979.5184  976.7922  974.5280  972.6823  971.2001  966.9740  966.5628
   999.3517  995.6380  991.0260  986.8134  983.1086  979.9263  977.2443  975.0253  973.2256  971.7904  967.7174  967.3285
   999.6094  995.9246  991.3544  987.1867  983.5288  980.3949  977.7627  975.5945  973.8465  972.4642  968.5632  968.1992
   999.8830  996.2302  991.7063  987.5884  983.9826  980.9027  978.3258  976.2142  974.5238  973.2004  969.4909  969.1548
  1000.2003  996.5834  992.1115  988.0495  984.5022  981.4828  978.9680  976.9197  975.2938  974.0364  970.5416  970.2366
  1000.5433  996.9667  992.5533  988.5542  985.0728  982.1214  979.6766  977.6998  976.1467  974.9638  971.7114  971.4415
  1000.9436  997.4141  993.0688  989.1430  985.7383  982.8663  980.5029  978.6094  977.1412  976.0451  973.0751  972.8463
